SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
[H]/N=C1\NCC[C@H]([C@@H]2NC(=O)/C(=C\NC(N)=O)NC(=O)[C@H](CNC(=O)C[C@@H]([NH3+])CCC[NH3+])NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC2=O)N1,"3000502",60,Done,15.28,-4.20053,"5edu_chain-A_Grid",-6.56993,-0.279971,-0.966983,-0,-0.254707,-28.0158,-25.4075,0.312118,-0.168471,-68.0176,-53.4233,23.4916
NCCC[C@H]([NH3+])CC(=O)NC[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CC[NH+]=C(N)N2)NC(=O)/C(=C\NC(N)=O)NC1=O,"3000502",61,Done,15.21,-4.54603,"5edu_chain-A_Grid",-6.93463,-0.602718,-0.52586,-1.7943,-0.455483,-31.9354,-14.9021,0.312118,-0.0363004,-65.4087,-46.8375,17.1544
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Cl)CS[C@H]12)c1ccccc1,"51039",63,Done,1.99,-3.62324,"5edu_chain-A_Grid",-3.90554,-0.442696,-0.530335,-0,-1.29711,-27.0955,-4.73258,0.429266,0,-37.8126,-31.8281,3.50163
[NH3+][C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Cl)CS[C@H]12)c1ccccc1,"51039",64,Done,2.72,-3.60757,"5edu_chain-A_Grid",-4.23187,-0.47382,-0.32,-0,-1.83358,-25.8544,-4.92606,0.427168,0,-41.0426,-30.7805,1.8052
[NH3+][C@@H](C(=O)[N-][C@@H]1C(=O)N2C(C(=O)[O-])=C(Cl)CS[C@H]12)c1ccccc1,"51039",65,Done,2.14,-1.71071,"5edu_chain-A_Grid",-3.80441,-0.330923,-0.220818,-0,-1.27654,-20.6376,-8.923,0.429266,-0.0350604,-38.8816,-29.5606,0.419327
Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1,"5284527",66,Done,4.81,-2.66565,"5edu_chain-A_Grid",-2.67985,-0.553454,-0.275176,-0,-0.112895,-31.4436,-5.04086,0.594315,-0.0043337,-42.2793,-36.4845,3.57901
Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H]([N-]C(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1,"5284527",67,Done,5.68,-1.22105,"5edu_chain-A_Grid",-3.43855,-0.837387,-0.130162,-0,-0.0784163,-36.7848,-6.49248,0.596561,-0.176032,-48.4513,-43.2773,9.93367
CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)[O-])S2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21,"53025",68,Done,6.38,-3.46394,"5edu_chain-A_Grid",-4.11484,-0.579075,-0.239104,-0,0.000213196,-31.275,-11.9859,0.413919,-0.349155,-53.2836,-43.2609,5.51578
C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,"62977",69,Done,4.23,-7.21437,"5edu_chain-A_Grid",-7.42817,-1.13818,-0.704667,-2.1806,-0.968228,-28.1873,-11.1523,0.645719,0,-52.4512,-39.3396,15.8577
C/C=C\C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,"62977",70,Done,4.93,-6.99639,"5edu_chain-A_Grid",-7.21019,-1.03141,-0.580167,-2.05671,-0.969115,-29.1452,-11.7417,0.645719,0,-56.591,-40.8869,12.8903
